day,queries,ctr,mrr,no_click_rate,possible_reformulation_rate
2006-03-01,10366164,1.0,inf,0.0,0.38928768636112643
2006-03-02,2888028,1.0,inf,0.0,0.4522144522144522
2006-03-03,2520948,1.0,inf,0.0,0.43942992874109266
2006-03-04,1721814,1.0,inf,0.0,0.4265129682997118
2006-03-05,2189143,1.0,0.7992049448134907,0.0,0.4468629961587708
2006-03-06,2370230,1.0,inf,0.0,0.42755344418052255
2006-03-07,2305750,1.0,inf,0.0,0.428927680798005
2006-03-08,2315040,1.0,inf,0.0,0.42138364779874216
2006-03-09,2376202,1.0,0.780998839284162,0.0,0.4320827943078913
2006-03-10,1784160,1.0,0.7829289580292595,0.0,0.4350282485875706
2006-03-11,1676292,1.0,0.8047389594719295,0.0,0.4493865030674847
2006-03-12,2103312,1.0,inf,0.0,0.4295977011494253
2006-03-13,2187568,1.0,inf,0.0,0.449468085106383
2006-03-14,2127220,1.0,0.7685190992712125,0.0,0.4547945205479452
2006-03-15,2083919,1.0,inf,0.0,0.4120054570259209
2006-03-16,1948160,1.0,inf,0.0,0.44152431011826543
2006-03-17,1303686,1.0,inf,0.0,0.41956882255389716
2006-03-18,1460290,1.0,inf,0.0,0.4500818330605565
2006-03-19,1928058,1.0,inf,0.0,0.4514200298953662
2006-03-20,1912397,1.0,inf,0.0,0.4297407912687585
2006-03-21,2218041,1.0,inf,0.0,0.4351245085190039
2006-03-22,2192099,1.0,inf,0.0,0.43905635648754915
2006-03-23,1724800,1.0,inf,0.0,0.43142857142857144
2006-03-24,1450080,1.0,0.7849032168685901,0.0,0.43238993710691825
2006-03-25,1401824,1.0,inf,0.0,0.47007042253521125
2006-03-26,1478466,1.0,inf,0.0,0.45773524720893144
2006-03-27,1955060,1.0,inf,0.0,0.4059701492537313
2006-03-28,1865856,1.0,inf,0.0,0.41150442477876104
2006-03-29,1570716,1.0,inf,0.0,0.43478260869565216
2006-03-30,1364636,1.0,inf,0.0,0.4301242236024845
2006-03-31,1111352,1.0,inf,0.0,0.3938356164383562
2006-04-01,1028088,1.0,inf,0.0,0.4351145038167939
2006-04-02,1300863,1.0,inf,0.0,0.457286432160804
2006-04-03,1661478,1.0,inf,0.0,0.4464555052790347
2006-04-04,857918,1.0,inf,0.0,0.3944223107569721
2006-04-05,1041084,1.0,inf,0.0,0.401673640167364
2006-04-06,898170,1.0,inf,0.0,0.4276595744680851
2006-04-07,830079,1.0,inf,0.0,0.4407158836689038
2006-04-08,789322,1.0,0.7435202362217694,0.0,0.4806378132118451
2006-04-09,778400,1.0,inf,0.0,0.4525
2006-04-10,918093,1.0,inf,0.0,0.40169133192389006
2006-04-11,956670,1.0,0.7707898297033036,0.0,0.4349775784753363
2006-04-12,568320,1.0,0.7958557926110634,0.0,0.4166666666666667
2006-04-13,510252,1.0,inf,0.0,0.4282178217821782
